label,x,y,z,timestamp,
18,-0.43214738,-0.7143029,0.4827197,0.26457837,0.5235988,1496906732437
18,-0.43478465,-0.71387315,0.48044613,0.26555407,0.5235988,1496906732443
18,-0.43727234,-0.71345085,0.4780637,0.26690054,0.5235988,1496906732448
18,-0.43960834,-0.71300554,0.47562364,0.26860705,0.5235988,1496906732453
18,-0.44175404,-0.7125532,0.47321472,0.2705349,0.5235988,1496906732457
18,-0.4436048,-0.71215826,0.4709668,0.27246225,0.5235988,1496906732463
18,-0.44529682,-0.71170574,0.46890736,0.27442947,0.5235988,1496906732468
18,-0.44680572,-0.7112268,0.467102,0.27629116,0.5235988,1496906732472
18,-0.4481641,-0.71068823,0.46560317,0.27800146,0.5235988,1496906732477
18,-0.449347,-0.7101515,0.4644502,0.27938893,0.5235988,1496906732483
18,-0.45049018,-0.7095539,0.46358997,0.2804928,0.5235988,1496906732488
18,-0.45152426,-0.70894897,0.46304786,0.28125402,0.5235988,1496906732493
18,-0.45236754,-0.7084029,0.46281502,0.281658,0.5235988,1496906732497
18,-0.45294207,-0.7079618,0.46287715,0.28174156,0.5235988,1496906732503
18,-0.4533891,-0.7075716,0.463092,0.28164962,0.5235988,1496906732508
18,-0.45365018,-0.70726824,0.46344066,0.2814178,0.5235988,1496906732513
18,-0.45377284,-0.70700616,0.46391335,0.2810995,0.5235988,1496906732518
18,-0.45373607,-0.7067831,0.46449304,0.28076214,0.5235988,1496906732523
18,-0.45367286,-0.7065065,0.46511677,0.2805279,0.5235988,1496906732528
18,-0.45357236,-0.7061605,0.46580487,0.28041983,0.5235988,1496906732533
18,-0.45342666,-0.70574325,0.46654084,0.2804823,0.5235988,1496906732538
18,-0.45319915,-0.7052808,0.4673239,0.2807097,0.5235988,1496906732543
18,-0.45298776,-0.7046851,0.4681476,0.281174,0.5235988,1496906732547
18,-0.45272517,-0.703989,0.469048,0.2818392,0.5235988,1496906732552
18,-0.45237136,-0.7031989,0.4700652,0.28268385,0.5235988,1496906732557
18,-0.451894,-0.70232385,0.471242,0.28366178,0.5235988,1496906732563
18,-0.45137772,-0.70130205,0.4725606,0.28481576,0.5235988,1496906732568
18,-0.45079848,-0.70011026,0.47407374,0.2861475,0.5235988,1496906732573
18,-0.45014504,-0.69875205,0.4757843,0.2876532,0.5235988,1496906732577
18,-0.44934306,-0.69727385,0.47772944,0.28926563,0.5235988,1496906732582
18,-0.4484404,-0.695635,0.47988725,0.29103497,0.5235988,1496906732587
18,-0.4473717,-0.69388217,0.48228228,0.29289907,0.5235988,1496906732593
18,-0.44609672,-0.6920317,0.48496914,0.29477915,0.5235988,1496906732598
18,-0.44454446,-0.6901687,0.48796576,0.29654142,0.5235988,1496906732603
18,-0.44277546,-0.688265,0.49126938,0.29815358,0.5235988,1496906732608
18,-0.44069767,-0.68638253,0.49491376,0.29954123,0.5235988,1496906732612
18,-0.4383296,-0.6845129,0.49886924,0.30073032,0.5235988,1496906732617
18,-0.43559745,-0.68268067,0.5031306,0.30176413,0.5235988,1496906732622
18,-0.43258324,-0.68083113,0.5076207,0.3027572,0.5235988,1496906732627
18,-0.43003792,-0.6794379,0.5120715,0.30201715,0.5235988,1496906732632
18,-0.4264162,-0.67769295,0.5167985,0.30301952,0.5235988,1496906732638
18,-0.42254832,-0.67599946,0.52151835,0.304132,0.5235988,1496906732642
18,-0.4186738,-0.6742722,0.52604526,0.30552518,0.5235988,1496906732647
18,-0.41484463,-0.6725222,0.5303098,0.30722854,0.5235988,1496906732653
18,-0.41117117,-0.6708011,0.5341574,0.30925727,0.5235988,1496906732658
18,-0.40776584,-0.6692209,0.53741246,0.3115417,0.5235988,1496906732663
18,-0.40500894,-0.6677976,0.5397268,0.31418005,0.5235988,1496906732667
18,-0.4030796,-0.66664255,0.5408689,0.31713632,0.5235988,1496906732672
18,-0.402085,-0.66583383,0.5407497,0.32028532,0.5235988,1496906732678
18,-0.40174982,-0.66540253,0.539674,0.32340157,0.5235988,1496906732683
18,-0.40183002,-0.66536474,0.5379607,0.32622185,0.5235988,1496906732687
18,-0.4020489,-0.6657666,0.5359278,0.3284706,0.5235988,1496906732692
18,-0.4022565,-0.6666121,0.53377056,0.3300106,0.5235988,1496906732698
