,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,acc_phone_x_kalman,acc_phone_y_kalman,acc_phone_z_kalman,gyr_phone_x_kalman,gyr_phone_y_kalman,gyr_phone_z_kalman,rotation_phone_x_kalman,rotation_phone_y_kalman
2017-06-25 00:23:35.941,3.285008935,-8.88384628,-5.165937575,2.02132606,-0.8273973385,-0.0573354088,-0.652353188,-0.408184132,0.315373171,0.555124226,2.0943952,1,0,0,2.12941219862,-8.52369303913,-3.51598451177,2.07094736875,-0.932151990678,0.211231088977,-0.667545818347,-0.412182149361
2017-06-25 00:23:35.991,-1.61256673653,-10.955538315,-4.62466317,1.0312920515,-0.178501045675,-0.146133424605,-0.627415409,-0.407231912,0.32990955,0.575860668,2.0943952,1,0,0,0.499498595097,-9.74783371744,-4.10819271288,1.25031937927,-0.414982050691,-0.0541428838703,-0.640604978792,-0.408831474159
2017-06-25 00:23:36.041,-0.860650291,-14.364369775,-3.9001697515,-0.21454196595,0.44824897995,-0.24595133905,-0.61998384,-0.406436094,0.333352949,0.582483492,2.0943952,1,0,0,-0.0929486749047,-12.0717019991,-3.99707591224,0.0940647635994,0.177383872871,-0.196577205798,-0.626761347165,-0.407210108558
2017-06-25 00:23:36.091,3.331113085,-14.1025941,2.0037932375,-0.519053151,0.7627685665,-0.753878107,-0.629186451,-0.4058199,0.305611799,0.588187952,2.0943952,1,0,0,1.39848807643,-13.0940110874,-0.791671611691,-0.389885768629,0.579086234626,-0.610421199473,-0.628389398356,-0.406269113846
2017-06-25 00:23:36.141,2.2567072815,-11.251203385,-0.31111309,-1.022135433,0.25430941945,-0.75771113,-0.633183547,-0.417001197,0.276088301,0.590612917,2.0943952,1,0,0,1.77230712906,-12.1663799984,-0.534978070257,-0.888937455246,0.356218065105,-0.719796663702,-0.631607860481,-0.413533328332
2017-06-25 00:23:36.191,0.676114036,-8.915460695,0.253872038,-0.18584764595,-0.2420650975,0.2756571516,-0.629881536,-0.426078579,0.282775119,0.58453395,2.0943952,1,0,0,1.29483248263,-10.5299346118,-0.113608521597,-0.333969680626,-0.0543354798375,0.0194136491104,-0.630448939489,-0.422024832931
2017-06-25 00:23:36.241,3.501638465,-10.812076595,-1.6528030115,0.350241091,0.7891205122,0.20746154895,-0.637808273,-0.408777482,0.272502982,0.593137258,2.0943952,1,0,0,2.25606264819,-10.6719590194,-0.935779556962,0.20609635818,0.524460414353,0.159055435336,-0.635389492373,-0.413058099456
2017-06-25 00:23:36.291,2.0853435865,-7.93182597,-2.3220913135,0.0219333237,0.8854780455,0.08666856595,-0.639441286,-0.397740937,0.263958796,0.602658485,2.0943952,1,0,0,2.18170164644,-9.29263296342,-1.67628724711,0.0607315019175,0.772197716439,0.105301941364,-0.638109609939,-0.402690373478
2017-06-25 00:23:36.341,2.3866371029,-6.171486645,-3.096760365,-0.736736059,0.38761292385,0.16764085655,-0.650675682,-0.387606509,0.25093455,0.60280528,2.0943952,1,0,0,2.27096651737,-7.7215127652,-2.43504239253,-0.568731175745,0.508288141992,0.15159395774,-0.646545603358,-0.392480559307
2017-06-25 00:23:36.391,0.22405408855,-6.964956655,-2.6609866,-1.271014755,0.3636033791,0.23578321625,-0.669162093,-0.388916479,0.239863655,0.585947589,2.0943952,1,0,0,1.37938200994,-7.3406781683,-2.55573203172,-1.12306260966,0.409002646664,0.21411174583,-0.661728787824,-0.390068150847
