,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:57:59.795,0.414590507654,-10.3760294128,-1.18395605132,-0.170441294564,0.851878255559,0.0578366829784,-0.0737019699065,-0.03516980835,0.07258223955,0.0759420577615,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:00.795,0.630854156363,-8.34599675475,-2.20390904102,0.377631129774,0.524147851295,0.0812970325525,-0.25173531245,-0.7763805374,0.5230173717,0.19604689107,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:01.795,1.2998070984,-8.4159253795,-3.0270712982,-0.159312052278,0.28076250182,0.18104307667,-0.38681953385,-0.7269841608,0.4571157446,0.3133054787,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:02.795,1.578648081,-8.33996257494,-2.44715182169,-0.479294098461,-0.00227354663133,-0.0831685856637,-0.43412213185,-0.6720272604,0.4204914946,0.40152793205,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:03.795,0.985736193375,-10.0012007952,-2.17956965394,0.081592491695,-0.179834613441,-0.00460227106575,-0.35932884415,-0.6957281397,0.4883734331,0.3716264443,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:04.795,-0.0847238172233,-7.8360432188,-2.52043484927,0.469905469693,0.425056612753,-0.170856326022,-0.38500625655,-0.73503481515,0.443592295,0.3072575931,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:05.795,1.54313696338,-9.44058511629,-1.01942600427,-0.659838992691,1.37891393522,0.45375093664,-0.67020361465,-0.40429874335,0.225893775665,0.519781191,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:06.795,0.991472264703,-9.23547109925,-1.81647869729,-0.459432583137,0.509146405062,0.435064005229,-0.79715407235,-0.010389221398,-0.0733323105165,0.5820866518,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:07.795,0.627285575818,-9.46490800975,-2.41129379149,0.305639789748,0.312358199309,-0.139782342906,-0.778021024,0.158746708505,-0.180691286235,0.5690749455,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:08.795,0.451026017539,-8.18386012682,-2.63120217406,0.35306527566,-0.00100350231725,-0.0939778992598,-0.79736670715,0.2080035572,-0.182200749825,0.5221214446,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:09.795,1.1778167663,-8.581678673,-3.09574250449,-0.146868081703,-0.0186167060528,-0.0180497407872,-0.79163855695,0.2280570403,-0.1948167964,0.5197133707,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:10.795,1.06602923281,-8.51969558025,-2.52511710225,-0.71293572684,0.130256622252,0.068825492818,-0.75381970575,0.24142451465,-0.235746229,0.5417617957,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:11.795,1.28556869901,-8.27692439836,-3.48617263382,0.564021784867,0.417989508081,-0.0207993933463,-0.74834700325,0.36641673575,-0.32823933815,0.4289554963,0.5235988,0,1,0,0,0,0
